ID,MAX SPEED,MAX SPEED RAW,MAX SPEED DATE TIME,MIN SPEED,MIN SPEED RAW,MIN SPEED DATE TIME,THRESHOLD MESSAGE (MAX),THRESHOLD MESSAGE (MIN),DISCARD IN UPPER ERROR LIMIT,DISCARD IN LOWER ERROR LIMIT,DISCARD IN UPPER WARNING LIMIT,DISCARD IN LOWER WARNING LIMIT,UPPER ERROR LIMIT,LOWER ERROR LIMIT,UPPER WARNING LIMIT,LOWER WARNING LIMIT
8193,,,,2.05 Mbit/s,255858.6362,27-03-2024 04:57:10,,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set
10705,,,,1.58 Mbit/s,196885.6976,28-03-2024 04:01:32,,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set,not_set
