ID,MAX SPEED,MAX SPEED RAW,MAX SPEED DATE TIME,MIN SPEED,MIN SPEED RAW,MIN SPEED DATE TIME,ERROR IN UPPER ERROR LIMIT,ERROR IN LOWER ERROR LIMIT,ERROR IN UPPER WARNING LIMIT,ERROR IN LOWER WARNING LIMIT,ERROR OUT UPPER ERROR LIMIT,ERROR OUT LOWER ERROR LIMIT,ERROR OUT UPPER WARNING LIMIT,ERROR OUT LOWER WARNING LIMIT,TRAFFIC TOTAL UPPER ERROR LIMIT,TRAFFIC TOTAL LOWER ERROR LIMIT,TRAFFIC TOTAL UPPER WARNING LIMIT,TRAFFIC TOTAL LOWER WARNING LIMIT,THRESHOLD MESSAGE (MAX),THRESHOLD MESSAGE (MIN)
8193,14 Mbit/s,1760712.0187,12-03-2024 18:01:00,2.01 Mbit/s,251040.4167,12-03-2024 23:38:00,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set,MAX SPEED for ID 8193 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set
10705,125 Mbit/s,15652945.0725,12-03-2024 22:48:22,19 Mbit/s,2390675.3959,12-03-2024 23:37:22,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set,MAX SPEED for ID 10705 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set
10657,129 Mbit/s,16143889.75,12-03-2024 19:01:54,7.34 Mbit/s,918112.2854,12-03-2024 23:39:55,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set,MAX SPEED for ID 10657 is within both Upper Error Limit(800.0 Mbit/s) and Upper Warning Limit(700.0 Mbit/s),not_set
