ID,MAX SPEED,MAX SPEED RAW,MAX SPEED DATE TIME,MIN SPEED,MIN SPEED RAW,MIN SPEED DATE TIME,ERROR IN UPPER ERROR LIMIT,ERROR IN LOWER ERROR LIMIT,ERROR IN UPPER WARNING LIMIT,ERROR IN LOWER WARNING LIMIT,ERROR OUT UPPER ERROR LIMIT,ERROR OUT LOWER ERROR LIMIT,ERROR OUT UPPER WARNING LIMIT,ERROR OUT LOWER WARNING LIMIT,TRAFFIC TOTAL UPPER ERROR LIMIT,TRAFFIC TOTAL LOWER ERROR LIMIT,TRAFFIC TOTAL UPPER WARNING LIMIT,TRAFFIC TOTAL LOWER WARNING LIMIT,THRESHOLD MESSAGE (MIN)
8193,,,,2.05 Mbit/s,255858.6362,27-03-2024 04:57:10,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set,not_set
10705,,,,1.58 Mbit/s,196885.6976,28-03-2024 04:01:32,2,not_set,1,not_set,2,not_set,1,not_set,800.0,not_set,700.0,not_set,not_set
