ID,MAX SPEED,MAX SPEED DATE TIME,MIN SPEED,TRAFFIC TOTAL UPPER ERROR LIMIT,TRAFFIC TOTAL LOWER ERROR LIMIT,TRAFFIC TOTAL UPPER WARNING LIMIT,TRAFFIC TOTAL LOWER WARNING LIMIT
9246,"5,044 Mbit/s",17-03-2024 02:02,23 Mbit/s,16000,not_set,10000,not_set
9167,"8,881 Mbit/s",17-03-2024 01:21,2.44 Mbit/s,8000,not_set,7000,not_set
9247,"4,610 Mbit/s",17-03-2024 03:11,6.12 Mbit/s,16000,not_set,10000,not_set
9168,"3,721 Mbit/s",17-03-2024 03:21,0.66 Mbit/s,8000,not_set,7000,not_set
9248,"4,032 Mbit/s",17-03-2024 03:12,3.34 Mbit/s,16000,not_set,10000,not_set
9249,"4,060 Mbit/s",17-03-2024 02:02,4.24 Mbit/s,16000,not_set,10000,not_set
9169,"1,894 Mbit/s",17-03-2024 00:42,15 Mbit/s,8000,not_set,7000,not_set
9250,0.02 Mbit/s,17-03-2024 05:21,0.02 Mbit/s,16000,not_set,10000,not_set
9170,"1,013 Mbit/s",17-03-2024 06:52,40 Mbit/s,8000,not_set,7000,not_set
9251,"5,552 Mbit/s",17-03-2024 03:40,12 Mbit/s,16000,not_set,10000,not_set
9171,"10,164 Mbit/s",17-03-2024 00:42,60 Mbit/s,8000,not_set,7000,not_set
9252,"2,612 Mbit/s",17-03-2024 03:39,3.30 Mbit/s,16000,not_set,10000,not_set
9172,"10,370 Mbit/s",17-03-2024 00:42,20 Mbit/s,8000,not_set,7000,not_set
9253,"1,729 Mbit/s",17-03-2024 02:02,4 Mbit/s,16000,not_set,10000,not_set
9173,< 0.01,17-03-2024 06:48,< 0.01,8000,not_set,7000,not_set
9174,0.06 Mbit/s,17-03-2024 01:02,< 0.01,8000,not_set,7000,not_set
9257,0.09 Mbit/s,17-03-2024 02:46,< 0.01,16000,not_set,10000,not_set
9258,1.66 Mbit/s,17-03-2024 01:17,0.99 Mbit/s,8000,not_set,7000,not_set
9175,0.06 Mbit/s,17-03-2024 01:02,< 0.01,8000,not_set,7000,not_set
9259,0.09 Mbit/s,17-03-2024 02:18,< 0.01,8000,not_set,7000,not_set
9176,0.06 Mbit/s,17-03-2024 01:02,< 0.01,8000,not_set,7000,not_set
9177,407 Mbit/s,17-03-2024 03:21,< 0.01,8000,not_set,7000,not_set
9260,150 Mbit/s,17-03-2024 05:31,< 0.01,16000,not_set,10000,not_set
9261,"3,359 Mbit/s",17-03-2024 01:57,< 0.01,16000,not_set,10000,not_set
9178,"1,128 Mbit/s",17-03-2024 03:19,< 0.01,8000,not_set,7000,not_set
9262,< 0.01,17-03-2024 02:55,< 0.01,16000,not_set,10000,not_set
9179,"1,124 Mbit/s",17-03-2024 01:29,< 0.01,8000,not_set,7000,not_set
9263,"1,682 Mbit/s",17-03-2024 01:42,< 0.01,16000,not_set,10000,not_set
9180,"1,732 Mbit/s",17-03-2024 01:28,< 0.01,8000,not_set,7000,not_set
9264,0.15 Mbit/s,17-03-2024 03:18,< 0.01,16000,not_set,10000,not_set
9181,"1,175 Mbit/s",17-03-2024 02:10,< 0.01,8000,not_set,7000,not_set
9265,0.09 Mbit/s,17-03-2024 03:19,< 0.01,16000,not_set,10000,not_set
9182,< 0.01,17-03-2024 01:31,< 0.01,8000,not_set,7000,not_set
8429,5.86 Mbit/s,17-03-2024 06:36,0.29 Mbit/s,800,not_set,700,not_set
10888,,,,not_set,not_set,not_set,not_set
10637,0.21 Mbit/s,17-03-2024 04:01,0.04 Mbit/s,800,not_set,700,not_set
10890,,,,800,not_set,700,not_set
7366,1.35 Mbit/s,17-03-2024 03:48,0.04 Mbit/s,800,not_set,700,not_set
7345,< 0.01,17-03-2024 05:46,< 0.01,800,not_set,700,not_set
6522,< 0.01,17-03-2024 01:43,< 0.01,800,not_set,700,not_set
5370,183 Mbit/s,17-03-2024 02:46,0.04 Mbit/s,800,not_set,700,not_set
