ID,MAX SPEED,MAX SPEED RAW,MAX SPEED DATE TIME,THRESHOLD MESSAGE (MAX),MIN SPEED,MIN SPEED RAW,MIN SPEED DATE TIME,THRESHOLD MESSAGE (MIN)
10977,< 0.01,5.903,12-03-2024 20:06:46,not_set,< 0.01,5.898,12-03-2024 18:18:46,not_set
9213,85 Mbit/s,10676920.993,12-03-2024 18:51:36,not_set,1.13 Mbit/s,141635.7095,12-03-2024 20:01:36,not_set
8464,0.01 Mbit/s,1314.1524,12-03-2024 19:01:34,not_set,< 0.01,393.0655,12-03-2024 18:14:34,not_set
8432,< 0.01,1198.5819,12-03-2024 19:00:46,not_set,< 0.01,318.7531,12-03-2024 19:14:46,not_set
7684,< 0.01,220.7,12-03-2024 20:23:45,not_set,< 0.01,88.4,12-03-2024 18:33:55,not_set
7687,1.70 Mbit/s,212456.2,12-03-2024 19:31:15,not_set,< 0.01,363.1,12-03-2024 19:39:15,not_set
9774,1.33 Mbit/s,166867.2388,12-03-2024 18:20:43,not_set,0.06 Mbit/s,7837.5729,12-03-2024 19:51:43,not_set
9780,1.34 Mbit/s,166911.8853,12-03-2024 18:20:13,not_set,0.06 Mbit/s,7843.9073,12-03-2024 19:52:13,not_set
9796,< 0.01,81.0667,12-03-2024 18:05:49,not_set,< 0.01,51.6414,12-03-2024 18:20:49,not_set
10978,< 0.01,20.09,12-03-2024 18:05:47,not_set,< 0.01,20.08,12-03-2024 18:07:47,not_set
10657,129 Mbit/s,16143889.75,12-03-2024 19:01:54,not_set,22 Mbit/s,2768505.4833,12-03-2024 19:52:55,not_set
9214,808 Mbit/s,100980015.1434,12-03-2024 19:35:05,not_set,4.73 Mbit/s,591779.35,12-03-2024 20:04:05,not_set
4623,9.24 Mbit/s,1154689.5,12-03-2024 19:43:04,MAX SPEED for ID 4623 is within both Upper Error Limit(500.0 Mbit/s) and Upper Warning Limit(400.0 Mbit/s),0.85 Mbit/s,105796.8032,12-03-2024 20:04:24,not_set
4629,< 0.01,948.2,12-03-2024 18:35:24,,,,,Error processing CSV data for ID 4629: could not convert string to float: '<'
2719,69 Mbit/s,8644915.9,12-03-2024 19:40:32,MAX SPEED for ID 2719 is within both Upper Error Limit(500.0 Mbit/s) and Upper Warning Limit(400.0 Mbit/s),2.17 Mbit/s,271013.3133,12-03-2024 19:20:42,not_set
