ID,Device Name,Date,Traffic Total
4638,{fws-jp-172-60-60-22} (172.60.60.22) [FortiGate-80F] @Rack_03 [CDC-105],27-03-2024 10:01:44,414.0
10955,{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],27-03-2024 09:40:44,710.0
10955,{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],27-03-2024 11:10:44,709.0
10955,{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],27-03-2024 14:25:44,702.0
10955,{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],27-03-2024 15:10:43,709.0
9955,{mgmt-gc-192-168-100-252} (192.168.100.252) [ Cisco-WS-C3850-48T] @Rack_XX,27-03-2024 00:13:33,915.0
9955,{mgmt-gc-192-168-100-252} (192.168.100.252) [ Cisco-WS-C3850-48T] @Rack_XX,27-03-2024 00:25:33,983.0
9955,{mgmt-gc-192-168-100-252} (192.168.100.252) [ Cisco-WS-C3850-48T] @Rack_XX,27-03-2024 00:26:33,791.0
9955,{mgmt-gc-192-168-100-252} (192.168.100.252) [ Cisco-WS-C3850-48T] @Rack_XX,27-03-2024 00:27:33,907.0
9955,{mgmt-gc-192-168-100-252} (192.168.100.252) [ Cisco-WS-C3850-48T] @Rack_XX,27-03-2024 00:29:33,949.0
9955,{mgmt-gc-192-168-100-252} (192.168.100.252) [ Cisco-WS-C3850-48T] @Rack_XX,27-03-2024 00:33:33,887.0
9152,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 02:47:19,850.0
9152,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 02:48:19,881.0
9152,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 02:49:19,878.0
9155,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 10:01:56,750.0
9155,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 11:07:57,770.0
9159,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 08:21:57,815.0
9159,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 11:41:57,727.0
9160,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 08:22:06,815.0
9160,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 09:42:06,948.0
9213,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 02:11:46,831.0
9213,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 03:21:46,880.0
9213,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 06:11:46,806.0
9213,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 06:12:46,895.0
9213,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 06:13:46,910.0
9214,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 01:01:15,840.0
9214,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 02:26:15,887.0
9214,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 02:27:15,905.0
9214,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 02:32:15,792.0
9214,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 03:16:15,908.0
9215,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,27-03-2024 14:47:30,734.0
