"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Unicast In (Volume)","Unicast In (Volume)(RAW)","Unicast In (Speed)","Unicast In (Speed)(RAW)","Unicast Out (Volume)","Unicast Out (Volume)(RAW)","Unicast Out (Speed)","Unicast Out (Speed)(RAW)","Multicast In (Volume)","Multicast In (Volume)(RAW)","Multicast In (Speed)","Multicast In (Speed)(RAW)","Multicast Out (Volume)","Multicast Out (Volume)(RAW)","Multicast Out (Speed)","Multicast Out (Speed)(RAW)","Broadcast In (Volume)","Broadcast In (Volume)(RAW)","Broadcast In (Speed)","Broadcast In (Speed)(RAW)","Broadcast Out (Volume)","Broadcast Out (Volume)(RAW)","Broadcast Out (Speed)","Broadcast Out (Speed)(RAW)","Errors In (Volume)","Errors In (Volume)(RAW)","Errors In (Speed)","Errors In (Speed)(RAW)","Errors Out (Volume)","Errors Out (Volume)(RAW)","Errors Out (Speed)","Errors Out (Speed)(RAW)","Discards In (Volume)","Discards In (Volume)(RAW)","Discards In (Speed)","Discards In (Speed)(RAW)","Discards Out (Volume)","Discards Out (Volume)(RAW)","Discards Out (Speed)","Discards Out (Speed)(RAW)","Unknown Protocols In (Volume)","Unknown Protocols In (Volume)(RAW)","Unknown Protocols In (Speed)","Unknown Protocols In (Speed)(RAW)","Coverage","Coverage(RAW)"
"12-03-2024 18:10:00","45363.5277783796","31 MB","32603916.0000","4.35 Mbit/s","543489.1815","","1214.0000","","20.2367","31 MB","32602702.0000","4.35 Mbit/s","543468.9448","0 #","0.0000","0 #/s","0.0000","39,214 #","39214.0000","654 #/s","653.6756","9 #","9.0000","0.15 #/s","0.1500","10 #","10.0000","0.17 #/s","0.1667","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:11:00","45363.5284729051","36 MB","37902507.0000","5.05 Mbit/s","631708.4500","","708.0000","","11.8000","36 MB","37901799.0000","5.05 Mbit/s","631696.6500","0 #","0.0000","0 #/s","0.0000","43,713 #","43713.0000","729 #/s","728.5500","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1167","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:12:00","45363.5291672801","30 MB","31872874.0000","4.25 Mbit/s","531303.1172","","826.0000","","13.7690","30 MB","31872048.0000","4.25 Mbit/s","531289.3482","0 #","0.0000","0 #/s","0.0000","38,616 #","38616.0000","644 #/s","643.7073","7 #","7.0000","0.12 #/s","0.1167","8 #","8.0000","0.13 #/s","0.1334","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:13:00","45363.5298616667","20 MB","20919504.0000","2.79 Mbit/s","348716.5194","","708.0000","","11.8020","20 MB","20918796.0000","2.79 Mbit/s","348704.7175","0 #","0.0000","0 #/s","0.0000","26,042 #","26042.0000","434 #/s","434.1057","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1167","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:14:00","45363.5305562269","24 MB","25051359.0000","3.34 Mbit/s","417453.0745","","708.0000","","11.7980","24 MB","25050651.0000","3.34 Mbit/s","417441.2765","0 #","0.0000","0 #/s","0.0000","30,033 #","30033.0000","500 #/s","500.4666","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1166","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:15:00","45363.5312506018","25 MB","25749168.0000","3.43 Mbit/s","429224.3374","","708.0000","","11.8020","25 MB","25748460.0000","3.43 Mbit/s","429212.5354","0 #","0.0000","0 #/s","0.0000","29,716 #","29716.0000","495 #/s","495.3492","6 #","6.0000","0.10 #/s","0.1000","8 #","8.0000","0.13 #/s","0.1334","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:16:00","45363.5319451736","24 MB","25222839.0000","3.36 Mbit/s","420310.5982","","826.0000","","13.7644","24 MB","25222013.0000","3.36 Mbit/s","420296.8339","0 #","0.0000","0 #/s","0.0000","29,080 #","29080.0000","485 #/s","484.5859","7 #","7.0000","0.12 #/s","0.1166","7 #","7.0000","0.12 #/s","0.1166","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:17:00","45363.5326395486","21 MB","22022316.0000","2.94 Mbit/s","367099.7833","","708.0000","","11.8020","21 MB","22021608.0000","2.94 Mbit/s","367087.9813","0 #","0.0000","0 #/s","0.0000","26,436 #","26436.0000","441 #/s","440.6734","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1167","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:18:00","45363.5333339236","19 MB","20312696.0000","2.71 Mbit/s","338601.3669","","708.0000","","11.8020","19 MB","20311988.0000","2.71 Mbit/s","338589.5649","0 #","0.0000","0 #/s","0.0000","24,565 #","24565.0000","409 #/s","409.4849","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1167","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:19:00","45363.5340284491","20 MB","20979578.0000","2.80 Mbit/s","349659.6333","","708.0000","","11.8000","20 MB","20978870.0000","2.80 Mbit/s","349647.8333","0 #","0.0000","0 #/s","0.0000","26,662 #","26662.0000","444 #/s","444.3667","6 #","6.0000","0.10 #/s","0.1000","8 #","8.0000","0.13 #/s","0.1333","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
