Device Name,Device ID,Sensor Name,Sensor ID
Probe Device,40,Core Health,1002
Probe Device,40,Probe Health,1003
Probe Device,40,System Health,1001
Probe Device,40,WMI UTC Time,9447
192.168.101.100 (IDRAC - 192.168.101.201),10724,SNMP System Uptime,10731
192.168.101.100 (IDRAC - 192.168.101.201),10724,Dell System Health TP-PRTG-101-100,10730
192.168.101.100 (IDRAC - 192.168.101.201),10724,Physical Disk 0:1:0,10727
192.168.101.100 (IDRAC - 192.168.101.201),10724,Physical Disk 0:1:1,10729
192.168.101.100 (IDRAC - 192.168.101.201),10724,Physical Disk 0:1:2,10728
Probe Device,2077,Probe Health,2079
Probe Device,2077,System Health,2078
Probe Device,2077,WMI UTC Time,3577
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Syslog Receiver,3022
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Uptime,3007
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,CPU Utilization,4772
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Memory Free,4777
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Thermal Detector 1,4785
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Thermal Detector 2,4790
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Fan 1 speed,4798
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Fan 2 speed,4804
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Fan 3 speed,4809
